complaint_text,complainant,accused
Formal complaint by Media Council of India accusing Rajkot Collector of corruption.,Media Council of India,Rajkot Collector
Media Council of India has accused Ranchi SP of unlawful conduct.,Media Council of India,Ranchi SP
Formal complaint by Smt. Sunita Gupta accusing Ranchi SP of corruption.,Smt. Sunita Gupta,Ranchi SP
Suo-Motu cognizance with regard to an incident involving Delhi Police and Smt. Sunita Gupta.,Smt. Sunita Gupta,Delhi Police
"According to Advocate Rakesh Kumar, Political Party Worker obstructed journalistic activities.",Advocate Rakesh Kumar,Political Party Worker
Suo-Motu cognizance in the case of Inspector General allegedly threatening National Human Rights Commission.,National Human Rights Commission,Inspector General
Shri Aman Verma raised concerns regarding behaviour of Media House Owner.,Shri Aman Verma,Media House Owner
Complaint submitted by Shri Rajesh Jain alleging harassment by Local MLA.,Shri Rajesh Jain,Local MLA
Mr. Arvind Yadav filed a report against District Magistrate citing threats and intimidation.,Mr. Arvind Yadav,District Magistrate
Complaint filed by Smt. Sunita Gupta against Media House Owner for abuse of power.,Smt. Sunita Gupta,Media House Owner
Suo-Motu cognizance regarding misconduct by Tehsildar involving Shri Aman Verma.,Shri Aman Verma,Tehsildar
Suo-Motu cognizance in the case of Tehsildar allegedly threatening Advocate Rakesh Kumar.,Advocate Rakesh Kumar,Tehsildar
"According to Smt. Sunita Gupta, Political Party Worker obstructed journalistic activities.",Smt. Sunita Gupta,Political Party Worker
Shri Aman Verma lodged a complaint against Inspector General with the authorities.,Shri Aman Verma,Inspector General
Formal complaint by Press Club of India accusing Political Party Worker of corruption.,Press Club of India,Political Party Worker
"According to Ms. Priya Sharma, Zonal Commissioner obstructed journalistic activities.",Ms. Priya Sharma,Zonal Commissioner
Suo-Motu cognizance in the case of Delhi Police allegedly threatening Editor of The Daily News.,Editor of The Daily News,Delhi Police
Suo-Motu cognizance with regard to an incident involving Inspector General and Shri Aman Verma.,Shri Aman Verma,Inspector General
Ms. Neha Dubey raised concerns regarding behaviour of Block Development Officer.,Ms. Neha Dubey,Block Development Officer
A complaint has been registered by Press Club of India against Tehsildar for misconduct.,Press Club of India,Tehsildar
Press Club of India raised concerns regarding behaviour of Political Party Worker.,Press Club of India,Political Party Worker
Formal complaint by Mr. Rahul Tiwari accusing Rajkot Collector of corruption.,Mr. Rahul Tiwari,Rajkot Collector
Complaint submitted by Smt. Rekha Singh alleging harassment by Police Constable.,Smt. Rekha Singh,Police Constable
Shri Rajesh Jain has accused Media House Owner of unlawful conduct.,Shri Rajesh Jain,Media House Owner
A complaint has been registered by Smt. Rekha Singh against Delhi Police for misconduct.,Smt. Rekha Singh,Delhi Police
Formal complaint by Press Club of India accusing Zonal Commissioner of corruption.,Press Club of India,Zonal Commissioner
Suo-Motu cognizance with regard to Ranchi SP allegedly bribing Smt. Sunita Gupta for media coverage.,Smt. Sunita Gupta,Ranchi SP
Complaint filed by Ms. Priya Sharma against Local MLA for abuse of power.,Ms. Priya Sharma,Local MLA
A complaint has been registered by Ms. Priya Sharma against Police Constable for misconduct.,Ms. Priya Sharma,Police Constable
Mr. Rahul Tiwari has accused Government Official of unlawful conduct.,Mr. Rahul Tiwari,Government Official
Ms. Neha Dubey filed a report against Media House Owner citing threats and intimidation.,Ms. Neha Dubey,Media House Owner
"According to Media Council of India, District Magistrate obstructed journalistic activities.",Media Council of India,District Magistrate
Complaint submitted by Advocate Rakesh Kumar alleging harassment by Tehsildar.,Advocate Rakesh Kumar,Tehsildar
Media Council of India has accused Block Development Officer of unlawful conduct.,Media Council of India,Block Development Officer
Ms. Neha Dubey lodged a complaint against State Education Minister with the authorities.,Ms. Neha Dubey,State Education Minister
Formal complaint by Ms. Priya Sharma accusing Rajkot Collector of corruption.,Ms. Priya Sharma,Rajkot Collector
Shri Rajesh Jain filed a report against Tehsildar citing threats and intimidation.,Shri Rajesh Jain,Tehsildar
Complaint filed by Mr. Rahul Tiwari against Block Development Officer for abuse of power.,Mr. Rahul Tiwari,Block Development Officer
"According to Smt. Sunita Gupta, Tehsildar obstructed journalistic activities.",Smt. Sunita Gupta,Tehsildar
Ms. Priya Sharma filed a report against Delhi Police citing threats and intimidation.,Ms. Priya Sharma,Delhi Police
Press Club of India lodged a complaint against Rajkot Collector with the authorities.,Press Club of India,Rajkot Collector
"According to National Human Rights Commission, Government Official obstructed journalistic activities.",National Human Rights Commission,Government Official
Suo-Motu cognizance with regard to an incident involving Block Development Officer and Mr. Rahul Tiwari.,Mr. Rahul Tiwari,Block Development Officer
Suo-Motu cognizance in the case of Delhi Police allegedly threatening Shri Aman Verma.,Shri Aman Verma,Delhi Police
Suo-Motu cognizance with regard to Delhi Police allegedly bribing National Human Rights Commission for media coverage.,National Human Rights Commission,Delhi Police
Smt. Rekha Singh filed a report against Police Constable citing threats and intimidation.,Smt. Rekha Singh,Police Constable
Suo-Motu cognizance with regard to Media House Owner allegedly attacking Ms. Priya Sharma.,Ms. Priya Sharma,Media House Owner
Complaint filed by Advocate Rakesh Kumar against State Education Minister for abuse of power.,Advocate Rakesh Kumar,State Education Minister
Complaint filed by Smt. Sunita Gupta against Block Development Officer for abuse of power.,Smt. Sunita Gupta,Block Development Officer
Formal complaint by Media Council of India accusing Traffic Police Officer of corruption.,Media Council of India,Traffic Police Officer
A complaint has been registered by Ms. Priya Sharma against State Education Minister for misconduct.,Ms. Priya Sharma,State Education Minister
Smt. Rekha Singh raised concerns regarding behaviour of Traffic Police Officer.,Smt. Rekha Singh,Traffic Police Officer
Complaint submitted by Smt. Rekha Singh alleging harassment by Government Official.,Smt. Rekha Singh,Government Official
Journalists Association of Delhi has accused Rajkot Collector of unlawful conduct.,Journalists Association of Delhi,Rajkot Collector
Suo-Motu cognizance regarding misconduct by Block Development Officer involving Mr. Rahul Tiwari.,Mr. Rahul Tiwari,Block Development Officer
A complaint has been registered by Shri Rajesh Jain against District Magistrate for misconduct.,Shri Rajesh Jain,District Magistrate
"According to Smt. Rekha Singh, Local MLA obstructed journalistic activities.",Smt. Rekha Singh,Local MLA
Complaint filed by Editor of The Daily News against Block Development Officer for abuse of power.,Editor of The Daily News,Block Development Officer
Journalists Association of Delhi raised concerns regarding behaviour of Government Official.,Journalists Association of Delhi,Government Official
Suo-Motu cognizance with regard to Police Constable allegedly harassing Editor of The Daily News during coverage of an event.,Editor of The Daily News,Police Constable
Suo-Motu cognizance with regard to Block Development Officer allegedly bribing Smt. Sunita Gupta for media coverage.,Smt. Sunita Gupta,Block Development Officer
Smt. Sunita Gupta lodged a complaint against Police Constable with the authorities.,Smt. Sunita Gupta,Police Constable
Smt. Rekha Singh raised concerns regarding behaviour of Delhi Police.,Smt. Rekha Singh,Delhi Police
Suo-Motu cognizance with regard to Local MLA allegedly harassing Shri Aman Verma during coverage of an event.,Shri Aman Verma,Local MLA
Journalists Association of Delhi lodged a complaint against District Magistrate with the authorities.,Journalists Association of Delhi,District Magistrate
Suo-Motu cognizance with regard to Police Constable allegedly harassing Advocate Rakesh Kumar during coverage of an event.,Advocate Rakesh Kumar,Police Constable
Journalists Association of Delhi filed a report against Government Official citing threats and intimidation.,Journalists Association of Delhi,Government Official
Mr. Arvind Yadav lodged a complaint against Government Official with the authorities.,Mr. Arvind Yadav,Government Official
Suo-Motu cognizance of unlawful detention of Mr. Rahul Tiwari by Traffic Police Officer.,Mr. Rahul Tiwari,Traffic Police Officer
Suo-Motu cognizance with regard to Inspector General allegedly attacking Mr. Rahul Tiwari.,Mr. Rahul Tiwari,Inspector General
Mr. Arvind Yadav raised concerns regarding behaviour of Media House Owner.,Mr. Arvind Yadav,Media House Owner
"According to Ms. Neha Dubey, Ranchi SP obstructed journalistic activities.",Ms. Neha Dubey,Ranchi SP
Suo-Motu cognizance with regard to Zonal Commissioner allegedly bribing Editor of The Daily News for media coverage.,Editor of The Daily News,Zonal Commissioner
Formal complaint by Advocate Rakesh Kumar accusing Media House Owner of corruption.,Advocate Rakesh Kumar,Media House Owner
Press Club of India lodged a complaint against Government Official with the authorities.,Press Club of India,Government Official
Suo-Motu cognizance of unlawful detention of Shri Rajesh Jain by Block Development Officer.,Shri Rajesh Jain,Block Development Officer
"According to Ms. Priya Sharma, Political Party Worker obstructed journalistic activities.",Ms. Priya Sharma,Political Party Worker
Complaint filed by Mr. Arvind Yadav against Traffic Police Officer for abuse of power.,Mr. Arvind Yadav,Traffic Police Officer
Suo-Motu cognizance of unlawful detention of Ms. Priya Sharma by Local MLA.,Ms. Priya Sharma,Local MLA
Suo-Motu cognizance with regard to Local MLA allegedly attacking Journalists Association of Delhi.,Journalists Association of Delhi,Local MLA
Editor of The Daily News has accused Media House Owner of unlawful conduct.,Editor of The Daily News,Media House Owner
Ms. Priya Sharma filed a report against Tehsildar citing threats and intimidation.,Ms. Priya Sharma,Tehsildar
Formal complaint by Ms. Priya Sharma accusing Block Development Officer of corruption.,Ms. Priya Sharma,Block Development Officer
Suo-Motu cognizance of unlawful detention of Advocate Rakesh Kumar by Police Constable.,Advocate Rakesh Kumar,Police Constable
Complaint filed by Shri Aman Verma against Local MLA for abuse of power.,Shri Aman Verma,Local MLA
Editor of The Daily News raised concerns regarding behaviour of Rajkot Collector.,Editor of The Daily News,Rajkot Collector
"According to Shri Rajesh Jain, District Magistrate obstructed journalistic activities.",Shri Rajesh Jain,District Magistrate
Suo-Motu cognizance with regard to an incident involving Local MLA and Mr. Rahul Tiwari.,Mr. Rahul Tiwari,Local MLA
Complaint submitted by Editor of The Daily News alleging harassment by Zonal Commissioner.,Editor of The Daily News,Zonal Commissioner
